"","ID","starting","assoc","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"128",128,0.001,FALSE,0.02,0.5,0.05,0.0102,0.000123909383637945,0.550442750860321,0.0388539889265558,0.00032686171657251,100,1,32.118
"129",129,0.001,FALSE,0.02,0.52,0.05,0.010199,0.00012101840581273,0.549738170107323,0.0327071875851815,0.000332255280342427,100,1,31.48
"130",130,0.001,FALSE,0.02,0.54,0.05,0.010209,0.000121518174223721,0.55156344292352,0.0387478112125293,0.000362853380170746,100,1,29.076
"131",131,0.001,FALSE,0.02,0.56,0.05,0.010199,0.000118487948498545,0.552766926796314,0.0385910990939893,0.000384983503316616,100,1,27.242
"132",132,0.001,FALSE,0.02,0.58,0.05,0.010205,0.000143107644728708,0.556446566431947,0.0356720609676449,0.000382142400643307,100,1,27.43
"133",133,0.001,FALSE,0.02,0.6,0.05,0.010208,0.00011779111797902,0.553813040607603,0.0310948139232813,0.000406609943365474,100,1,25.886
"134",134,0.001,FALSE,0.02,0.62,0.05,0.010258,0.00016525462447112,0.562722429917981,0.0388052347902656,0.000420516099535426,100,1,25.092
"135",135,0.001,FALSE,0.02,0.64,0.05,0.010218,0.000140977826181097,0.561696172305068,0.0346772569789812,0.000440142920318449,100,1,23.764
"136",136,0.001,FALSE,0.02,0.66,0.05,0.010205,0.000116666666666667,0.563450467434344,0.0368167956961346,0.000440847638877856,100,1,23.686
"137",137,0.001,FALSE,0.02,0.68,0.05,0.010244,0.00016163307992256,0.567934953184349,0.0332937105122485,0.000451435880001597,100,1,23.174
"138",138,0.001,FALSE,0.02,0.7,0.05,0.010205,0.00012742595393943,0.559161178392584,0.0366074702505567,0.000467643397240515,100,1,22.38
"139",139,0.001,FALSE,0.02,0.72,0.05,0.010218,0.0001358698129115,0.559002956078917,0.0347920895076404,0.00049713640716204,100,1,20.974
"140",140,0.001,FALSE,0.02,0.74,0.05,0.010249,0.000164835393865235,0.561276098540867,0.037155554737321,0.000502737881490453,100,1,20.846
"141",141,0.001,FALSE,0.02,0.76,0.05,0.010248,0.000155362073033845,0.566153973080102,0.0318450149287522,0.00052201496876869,100,1,20.086
"142",142,0.001,FALSE,0.02,0.78,0.05,0.010208,0.000142616247108785,0.571693195875399,0.0330232384610214,0.000524403143577615,100,1,19.874
"143",143,0.001,FALSE,0.02,0.8,0.05,0.01023,0.000135958995601058,0.56610505898615,0.0358540268463755,0.000539281054502747,100,1,19.374
"144",144,0.001,FALSE,0.02,0.82,0.05,0.010257,0.000145820562211357,0.575032444702844,0.0382161684308438,0.000538179323321548,100,1,19.442
"145",145,0.001,FALSE,0.02,0.84,0.05,0.010215,0.000129782257429259,0.57105530355787,0.0396700171079211,0.00056615638222758,100,1,18.45
"146",146,0.001,FALSE,0.02,0.86,0.05,0.010241,0.000151820601202521,0.568814639530046,0.0378484540334022,0.000575671849575739,100,1,18.144
"147",147,0.001,FALSE,0.02,0.88,0.05,0.010253,0.000156640874730588,0.584015602106028,0.0312895996565755,0.000577291402148975,100,1,18.122
"148",148,0.001,FALSE,0.02,0.9,0.05,0.010236,0.000138184476316805,0.57126227566582,0.0346060270782744,0.000610296032164969,100,1,17.066
"149",149,0.001,FALSE,0.02,0.92,0.05,0.01024,0.000152421531393446,0.573294418903279,0.0290970296360396,0.00062273531480154,100,1,16.652
"150",150,0.001,FALSE,0.02,0.94,0.05,0.010236,0.000151437555888007,0.575995867428221,0.0309513961628845,0.000618222222113219,100,1,16.858
"151",151,0.001,FALSE,0.02,0.96,0.05,0.010256,0.000137304498296761,0.570785775980523,0.033756644035496,0.000661007952864585,100,1,15.758
"152",152,0.001,FALSE,0.02,0.98,0.05,0.010235,0.000142400062421959,0.573408444389896,0.0317080660858771,0.000657139536593812,100,1,15.846
"153",153,0.001,FALSE,0.02,1,0.05,0.010247,0.000150053862383351,0.57195115979727,0.0317891296125509,0.000640148261510657,100,1,16.354
"154",154,0.001,FALSE,0.03,0,0.05,NA,NA,NA,NA,0,0,0,36.046
"155",155,0.001,FALSE,0.03,0.02,0.05,NA,NA,NA,NA,9.98003992015968e-09,0,0,43.858
"156",156,0.001,FALSE,0.03,0.04,0.05,NA,NA,NA,NA,3.99201596806387e-08,0,0,49.166
"157",157,0.001,FALSE,0.03,0.06,0.05,NA,NA,NA,NA,1.39720558882236e-07,0,0,51.858
"158",158,0.001,FALSE,0.03,0.08,0.05,NA,NA,NA,NA,3.0938123752495e-07,0,0,59.228
"159",159,0.001,FALSE,0.03,0.1,0.05,NA,NA,NA,NA,4.29141716566866e-07,0,0,62.718
"160",160,0.001,FALSE,0.03,0.12,0.05,NA,NA,NA,NA,7.48502994011976e-07,0,0,69.858
"161",161,0.001,FALSE,0.03,0.14,0.05,NA,NA,NA,NA,1.35728542914172e-06,0,0,77.056
"162",162,0.001,FALSE,0.03,0.16,0.05,NA,NA,NA,NA,3.03393213572854e-06,0,0,80.83
"163",163,0.001,FALSE,0.03,0.18,0.05,NA,NA,NA,NA,6.02794411177645e-06,0,0,85.65
"164",164,0.001,FALSE,0.03,0.2,0.05,NA,NA,NA,NA,1.0439121756487e-05,0,0,92.454
"165",165,0.001,FALSE,0.03,0.22,0.05,NA,NA,NA,NA,1.9810379241517e-05,0,0,98.05
"166",166,0.001,FALSE,0.03,0.24,0.05,0.01015,7.07106781186556e-05,0.394073966220151,0.00422122568850441,3.31420273312376e-05,2,0.02,97.642
"167",167,0.001,FALSE,0.03,0.26,0.05,0.0101555555555556,0.00010137937550497,0.490325917961329,0.0351183091370859,4.53778322424662e-05,9,0.09,96.468
"168",168,0.001,FALSE,0.03,0.28,0.05,0.0101727272727273,0.000103901176824204,0.474353453609649,0.0364830458878957,7.648024947619e-05,33,0.33,94.972
"169",169,0.001,FALSE,0.03,0.3,0.05,0.0101622641509434,0.000104193634631982,0.48833179216846,0.0353714086001376,9.64190002058792e-05,53,0.53,90.128
"170",170,0.001,FALSE,0.03,0.32,0.05,0.01016,9.44400281603038e-05,0.501264260570202,0.0384943878894115,0.00011869401338715,75,0.75,80.858
"171",171,0.001,FALSE,0.03,0.34,0.05,0.0101655555555556,8.88896691601211e-05,0.511492697020804,0.0391471897640237,0.000137834483188469,90,0.9,74.7
"172",172,0.001,FALSE,0.03,0.36,0.05,0.0101916666666667,0.0001211060141639,0.51904620760283,0.0351958962033948,0.000168269648361206,96,0.96,63.544
"173",173,0.001,FALSE,0.03,0.38,0.05,0.010186,0.00011011472437986,0.52690959913235,0.0426561071185517,0.000188954251061658,100,1,56.468
"174",174,0.001,FALSE,0.03,0.4,0.05,0.0101979797979798,0.00012695796988896,0.529586570562511,0.042464374356806,0.000198701681873552,99,0.99,54.322
"175",175,0.001,FALSE,0.03,0.42,0.05,0.0101848484848485,0.000107251027647079,0.534743999628351,0.0416578171864851,0.000225565551799935,99,0.99,47.254
"176",176,0.001,FALSE,0.03,0.44,0.05,0.010183,0.000111965903900981,0.526319349163219,0.0375163004203818,0.00024508294175981,100,1,42.874
