"","ID","starting","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"63",63,0.001,0.4,0.22,0.05,NA,NA,NA,NA,0,0,0,7.036
"64",64,0.001,0.4,0.24,0.05,NA,NA,NA,NA,0,0,0,7.886
"65",65,0.001,0.4,0.26,0.05,NA,NA,NA,NA,0,0,0,7.296
"66",66,0.001,0.4,0.28,0.05,NA,NA,NA,NA,0,0,0,7.852
"67",67,0.001,0.4,0.3,0.05,NA,NA,NA,NA,0,0,0,8.11
"68",68,0.001,0.4,0.32,0.05,NA,NA,NA,NA,0,0,0,7.686
"69",69,0.001,0.4,0.34,0.05,NA,NA,NA,NA,0,0,0,8.42
"70",70,0.001,0.4,0.36,0.05,NA,NA,NA,NA,0,0,0,8.162
"71",71,0.001,0.4,0.38,0.05,NA,NA,NA,NA,0,0,0,8.708
"72",72,0.001,0.4,0.4,0.05,NA,NA,NA,NA,0,0,0,8.648
"73",73,0.001,0.4,0.42,0.05,NA,NA,NA,NA,0,0,0,8.632
"74",74,0.001,0.4,0.44,0.05,NA,NA,NA,NA,0,0,0,8.506
"75",75,0.001,0.4,0.46,0.05,NA,NA,NA,NA,0,0,0,9
"76",76,0.001,0.4,0.48,0.05,NA,NA,NA,NA,0,0,0,9.12
"77",77,0.001,0.4,0.5,0.05,NA,NA,NA,NA,0,0,0,9.674
"78",78,0.001,0.4,0.52,0.05,NA,NA,NA,NA,0,0,0,9.48
"79",79,0.001,0.4,0.54,0.05,NA,NA,NA,NA,0,0,0,10.21
"80",80,0.001,0.4,0.56,0.05,NA,NA,NA,NA,0,0,0,10.26
"81",81,0.001,0.4,0.58,0.05,NA,NA,NA,NA,0,0,0,10.176
"82",82,0.001,0.4,0.6,0.05,NA,NA,NA,NA,0,0,0,10.854
"83",83,0.001,0.4,0.62,0.05,NA,NA,NA,NA,0,0,0,9.418
"84",84,0.001,0.4,0.64,0.05,NA,NA,NA,NA,0,0,0,11.23
"85",85,0.001,0.4,0.66,0.05,NA,NA,NA,NA,0,0,0,10.558
"86",86,0.001,0.4,0.68,0.05,NA,NA,NA,NA,0,0,0,11.358
"87",87,0.001,0.4,0.7,0.05,NA,NA,NA,NA,0,0,0,12.896
"88",88,0.001,0.4,0.72,0.05,NA,NA,NA,NA,0,0,0,11.296
"89",89,0.001,0.4,0.74,0.05,NA,NA,NA,NA,0,0,0,12.104
"90",90,0.001,0.4,0.76,0.05,NA,NA,NA,NA,0,0,0,13.268
"91",91,0.001,0.4,0.78,0.05,NA,NA,NA,NA,0,0,0,13.274
"92",92,0.001,0.4,0.8,0.05,NA,NA,NA,NA,0,0,0,12.912
"93",93,0.001,0.4,0.82,0.05,NA,NA,NA,NA,0,0,0,11.514
"94",94,0.001,0.4,0.84,0.05,NA,NA,NA,NA,0,0,0,14.166
"95",95,0.001,0.4,0.86,0.05,NA,NA,NA,NA,0,0,0,13.422
"96",96,0.001,0.4,0.88,0.05,NA,NA,NA,NA,0,0,0,14.002
"97",97,0.001,0.4,0.9,0.05,NA,NA,NA,NA,0,0,0,12.938
"98",98,0.001,0.4,0.92,0.05,NA,NA,NA,NA,0,0,0,14.328
"99",99,0.001,0.4,0.94,0.05,NA,NA,NA,NA,0,0,0,14.868
"100",100,0.001,0.4,0.96,0.05,NA,NA,NA,NA,0,0,0,15.622
"101",101,0.001,0.4,0.98,0.05,NA,NA,NA,NA,0,0,0,16.148
"102",102,0.001,0.4,1,0.05,NA,NA,NA,NA,0,0,0,15.188
"103",103,0.001,0.1,0,0.05,NA,NA,NA,NA,0,0,0,27.832
"104",104,0.001,0.1,0.02,0.05,NA,NA,NA,NA,0,0,0,32.714
"105",105,0.001,0.1,0.04,0.05,NA,NA,NA,NA,0,0,0,33.936
"106",106,0.001,0.1,0.06,0.05,NA,NA,NA,NA,0,0,0,36.09
"107",107,0.001,0.1,0.08,0.05,NA,NA,NA,NA,0,0,0,40.258
"108",108,0.001,0.1,0.1,0.05,NA,NA,NA,NA,0,0,0,48.188
"109",109,0.001,0.1,0.12,0.05,NA,NA,NA,NA,0,0,0,48.924
"110",110,0.001,0.1,0.14,0.05,NA,NA,NA,NA,0,0,0,54.362
"111",111,0.001,0.1,0.16,0.05,NA,NA,NA,NA,0,0,0,69.766
"112",112,0.001,0.1,0.18,0.05,NA,NA,NA,NA,0,0,0,77.594
"113",113,0.001,0.1,0.2,0.05,NA,NA,NA,NA,0,0,0,98.86
"114",114,0.001,0.1,0.22,0.05,NA,NA,NA,NA,0,0,0,148.42
"115",115,0.001,0.1,0.24,0.05,NA,NA,NA,NA,0,0,0,236.468
"116",116,0.001,0.1,0.26,0.05,0.0101454545454545,6.87551650952332e-05,0.433586962351289,0.0312609933824917,1.08233246195441e-06,11,0.11,524.85
"117",117,0.001,0.1,0.28,0.05,0.0101661538461538,9.23257193935607e-05,0.449898751436425,0.035577648124796,1.82231464267533e-05,65,0.65,358.064
"118",118,0.001,0.1,0.3,0.05,0.0101677777777778,8.84673211776789e-05,0.467653454648595,0.0396724399912432,4.16084264359389e-05,90,0.9,242.838
"119",119,0.001,0.1,0.32,0.05,0.0101717391304348,0.000108259037088474,0.468563275973824,0.0403542825699788,6.13894243222956e-05,92,0.92,167.83
"120",120,0.001,0.1,0.34,0.05,0.0101814432989691,0.000108330029027059,0.488578970578759,0.0451534826924912,7.76415950586293e-05,97,0.97,141.324
"121",121,0.001,0.1,0.36,0.05,0.0101802083333333,0.000104246460666075,0.49456204616572,0.0446528858180786,9.72383365635868e-05,96,0.96,105.156
"122",122,0.001,0.1,0.38,0.05,0.0101918367346939,0.000117248057938112,0.503627934930123,0.0404708741860165,0.00012394784866773,98,0.98,87.14
"123",123,0.001,0.1,0.4,0.05,0.010202,0.000106344209570107,0.504937882576925,0.0429268395958077,0.000142135459753959,100,1,76.866
"124",124,0.001,0.1,0.42,0.05,0.010209,0.000123986802816781,0.509279521835349,0.0387183367558085,0.000160884929599015,100,1,68.934
"125",125,0.001,0.1,0.44,0.05,0.010187,0.000119472747410183,0.517582951824678,0.0422202092337446,0.000180316943241991,100,1,59.428
"126",126,0.001,0.1,0.46,0.05,0.010209,0.000127203805292169,0.525702285300059,0.0342096268382072,0.000197281243714824,100,1,54.49
"127",127,0.001,0.1,0.48,0.05,0.010193,0.000116562724259811,0.526089350119406,0.0407999127641466,0.000210981639851775,100,1,51.034
"128",128,0.001,0.1,0.5,0.05,0.010216,0.000126905675621899,0.53068199287415,0.043904540563491,0.000222400309109965,100,1,48.662
"129",129,0.001,0.1,0.52,0.05,0.010231,0.00015871644240881,0.529663596445671,0.038465837677706,0.000254253868022568,100,1,42.09
"130",130,0.001,0.1,0.54,0.05,0.010215,0.000151340808786132,0.536398763520382,0.0384344062532837,0.000265525465532752,100,1,40.742
