"","ID","protect","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p"
"147",147,0.5,0.1,0.88,0.05,9,847.666666666667,375.344268638806,0.855574530047468,0.833006835471153,0.00413072177198708,0.841249559030925,1.00989776580584,8332.44444444445,5,"COV",27.6636544544964,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",148,0.5,0.1,0.9,0.05,9,850.844444444445,282.678240722164,0.852044932738257,0.837668715642179,0.00394790343605557,0.845386635119978,1.00921588123637,8369.33333333333,5,"COV",40.7553677446297,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",149,0.5,0.1,0.92,0.05,9,619.066666666667,101.807514457431,0.860549904403484,0.842186245766006,0.00396906867643814,0.849487069870877,1.00867114946346,8391.66666666667,5,"COV",25.7584937447825,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",150,0.5,0.1,0.94,0.05,9,718.444444444444,197.232344654161,0.849647603587558,0.846527591759676,0.00393260843701353,0.853341260361326,1.0080511457163,8457.77777777778,5,"COV",43.5912198090905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",151,0.5,0.1,0.96,0.05,9,813.155555555556,431.272625815479,0.865681004071505,0.850318296407352,0.00400569498347911,0.856828939741269,1.00765856988009,8510.55555555555,5,"COV",40.0159690345964,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",152,0.5,0.1,0.98,0.05,9,821.2,292.392629866076,0.844515800279462,0.854384968626798,0.00376151799910714,0.860497790442779,1.00715619523099,8566.77777777778,5,"COV",39.5941213369415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",153,0.5,0.1,1,0.05,9,749.8,231.88585554104,0.845156740415324,0.857919556888223,0.0036632068281667,0.863802052695295,1.00685828365592,8564.77777777778,5,"COV",34.6834895078976,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",154,0.5,0.4,0,0.05,9,500,0,0.849307332206,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",155,0.5,0.4,0.02,0.05,9,500,0,0.847189168073237,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",156,0.5,0.4,0.04,0.05,9,500,0,0.853129149875086,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,0.5,0.4,0.06,0.05,9,500,0,0.837028349071948,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",158,0.5,0.4,0.08,0.05,9,500,0,0.861873661982827,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",159,0.5,0.4,0.1,0.05,9,500,0,0.842762218842593,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",160,0.5,0.4,0.12,0.05,9,500,0,0.848533398696842,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
