"","ID","assoc","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p","mean_p_largest","predict_largest","mismatch_PL"
"2843",2843,TRUE,0.04,0.74,0.05,10,894.6,483.188861166682,0.850895640174858,0.884954622688656,0.00352038898968109,0.891449149796234,1.00734052608402,8861.4,5,"COV",41.1992448690237,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526315789473684,NA,NA
"2844",2844,TRUE,0.04,0.76,0.05,10,667.06,101.877793894886,0.845896275504492,0.889461984007996,0.00337450827466507,0.895443485135433,1.00672644655014,8883.7,5,"COV",25.1398311671163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37037037037037,NA,NA
"2845",2845,TRUE,0.04,0.78,0.05,10,921.24,439.352106832069,0.854723618975841,0.893509710144928,0.0034253533896954,0.899074938530206,1.00623003229188,8929.6,5,"COV",34.5259966466494,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384615384615385,NA,NA
"2846",2846,TRUE,0.04,0.8,0.05,10,791.68,214.052188859529,0.832278168888297,0.897265442278861,0.00327847375649358,0.902393194249852,1.00571622462458,8972.3,5,"COV",33.9085371092427,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588235294117647,NA,NA
"2847",2847,TRUE,0.04,0.82,0.05,10,1013.9,429.3860552515,0.859387697346974,0.900865787106447,0.00326647912699818,0.905684547277485,1.00535040496487,9005.1,5,"COV",24.9953328976965,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,NA,NA
"2848",2848,TRUE,0.04,0.84,0.05,10,911.76,437.574931234005,0.857813965710811,0.904068335832084,0.00320499404640608,0.908563817657411,1.00497361323941,9037.2,5,"COV",36.0918581154008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA
"2849",2849,TRUE,0.04,0.86,0.05,10,632.66,132.319010140057,0.830734733755235,0.907349735132434,0.00309558057815152,0.911525503925669,1.00460326233219,9076.7,5,"COV",45.2131986629273,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA
"2850",2850,TRUE,0.04,0.88,0.05,10,721.68,211.590825257933,0.846422352618538,0.9102184007996,0.0030427869452247,0.914160801707402,1.00433220179212,9116.9,5,"COV",53.125532677068,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,NA,NA
"2851",2851,TRUE,0.04,0.9,0.05,10,680.2,117.839137056507,0.852245762299281,0.913027941029485,0.00302343138296278,0.916731430673136,1.00405716538346,9127.8,5,"COV",27.083410256301,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588235294117647,NA,NA
"2852",2852,TRUE,0.04,0.92,0.05,10,751.18,239.537692696206,0.85385940623004,0.915747966016991,0.00299563251017675,0.919213036418571,1.00378477353702,9155,5,"COV",32.3384875616931,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714285714285714,NA,NA
"2853",2853,TRUE,0.04,0.94,0.05,10,815.34,243.699870970649,0.846349418489262,0.918115492253873,0.00294635341628707,0.921388129178702,1.0035653848554,9172.4,5,"COV",32.5275951223641,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA
"2854",2854,TRUE,0.04,0.96,0.05,10,770.58,236.696551164848,0.833364496121649,0.920286916541729,0.00284167362143651,0.923399290988469,1.0033827088579,9200.4,5,"COV",26.5714968423769,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769230769230769,NA,NA
